LivingArea,NumBedrooms,Pool,ClosePrice,DwellingType,num_baths
1442.0,3,Community,199000.0,Single Family - Detached,2.0
2279.0,4,Private,262000.0,Single Family - Detached,3.0
2290.0,3,Community,238000.0,Single Family - Detached,2.5
2150.0,3,None,53000.0,Mfg/Mobile Housing,2.0
2569.0,3,None,525000.0,Single Family - Detached,2.0
3239.0,4,Private,585000.0,Single Family - Detached,3.5
2267.0,4,Private,179000.0,Single Family - Detached,3.0
2685.0,4,Private,314000.0,Single Family - Detached,3.0
1418.0,3,Community,180000.0,Single Family - Detached,2.5
1161.0,3,None,135000.0,Single Family - Detached,2.0
1885.0,3,None,245000.0,Single Family - Detached,2.5
4006.0,5,Private,680000.0,Single Family - Detached,3.5
959.0,2,Community,125000.0,Apartment Style/Flat,2.0
2378.0,3,None,220000.0,Single Family - Detached,2.5
1540.0,4,None,150000.0,Single Family - Detached,2.5
1890.0,3,Private,349000.0,Single Family - Detached,2.0
1412.0,3,Private,251000.0,Single Family - Detached,2.0
1701.0,4,Community,192500.0,Townhouse,3.0
1421.0,3,None,170000.0,Single Family - Detached,2.0
1726.0,3,Private,274000.0,Single Family - Detached,2.0
2296.0,3,Community,825000.0,Townhouse,3.0
4800.0,5,Private,1100000.0,Single Family - Detached,6.0
5893.0,5,Private,726000.0,Single Family - Detached,3.5
2150.0,3,Community,175000.0,Single Family - Detached,2.0
2174.0,4,Private,300000.0,Single Family - Detached,2.0
904.0,2,Both Private & Community,105000.0,Townhouse,1.0
1502.0,3,None,130000.0,Single Family - Detached,2.0
2135.0,4,Private,355000.0,Single Family - Detached,2.0
1170.0,3,None,166000.0,Single Family - Detached,2.0
1685.0,3,None,140250.0,Single Family - Detached,2.0
2205.0,4,None,263300.0,Single Family - Detached,2.0
1816.0,4,None,154000.0,Single Family - Detached,2.5
1096.0,3,Community,36000.0,Apartment Style/Flat,2.0
950.0,2,Community,29000.0,Apartment Style/Flat,2.0
1089.0,3,None,97500.0,Single Family - Detached,2.0
1585.0,3,None,210000.0,Townhouse,2.5
1096.0,3,Community,43000.0,Apartment Style/Flat,2.0
1522.0,3,None,157000.0,Single Family - Detached,2.0
1254.0,2,Community,128000.0,Townhouse,2.0
2113.0,3,None,369900.0,Single Family - Detached,2.0
2641.0,4,None,339808.0,Single Family - Detached,2.5
4043.0,4,None,369900.0,Single Family - Detached,4.5
1973.0,3,Community,252637.0,Single Family - Detached,2.0
2131.0,3,None,261000.0,Single Family - Detached,2.0
2113.0,4,None,164500.0,Single Family - Detached,2.5
1104.0,2,Community,204000.0,Townhouse,2.0
2831.0,3,Private,248000.0,Single Family - Detached,3.0
1479.0,4,Community,124000.0,Townhouse,2.0
3777.0,5,Private,600000.0,Single Family - Detached,3.5
840.0,2,None,55900.0,Single Family - Detached,1.0
1544.0,3,Community,135000.0,Townhouse,2.0
1455.0,4,Private,170000.0,Single Family - Detached,2.0
1296.0,2,Community,60000.0,Mfg/Mobile Housing,2.0
1503.0,2,None,125500.0,Single Family - Detached,2.0
759.0,2,Both Private & Community,86000.0,Patio Home,1.0
1590.0,4,None,139500.0,Single Family - Detached,2.0
1092.0,3,None,103000.0,Single Family - Detached,2.0
1152.0,2,Community,137000.0,Apartment Style/Flat,2.0
1022.0,2,Community,74500.0,Townhouse,2.0
884.0,2,Community,87000.0,Townhouse,1.0
1450.0,3,Private,116550.0,Single Family - Detached,2.0
3495.0,5,Private,435000.0,Single Family - Detached,3.0
1889.0,3,None,183000.0,Single Family - Detached,2.0
1372.0,3,None,131000.0,Single Family - Detached,2.0
1930.0,4,Private,169000.0,Single Family - Detached,2.0
1338.0,3,Private,180000.0,Single Family - Detached,2.0
900.0,2,None,214000.0,Single Family - Detached,1.0
2405.0,4,None,185000.0,Single Family - Detached,2.5
2103.0,4,None,162500.0,Single Family - Detached,2.5
1742.0,2,Community,175000.0,Gemini/Twin Home,2.0
1800.0,3,None,310000.0,Single Family - Detached,2.5
1904.0,4,None,110000.0,Mfg/Mobile Housing,2.0
1353.0,3,Community,175000.0,Single Family - Detached,2.0
3503.0,5,None,406000.0,Single Family - Detached,3.0
2927.0,4,None,359000.0,Single Family - Detached,4.0
2691.0,4,Community,173900.0,Single Family - Detached,2.5
1676.0,2,Community,217000.0,Single Family - Detached,2.0
686.0,1,Community,27900.0,Apartment Style/Flat,1.0
1660.0,3,Private,204000.0,Single Family - Detached,2.0
1925.0,4,None,149000.0,Single Family - Detached,2.0
1888.0,3,Private,139000.0,Single Family - Detached,2.0
1044.0,2,Community,56729.0,Apartment Style/Flat,2.0
1249.0,3,None,153000.0,Single Family - Detached,2.0
2553.0,4,None,276000.0,Single Family - Detached,2.0
2222.0,5,None,147900.0,Single Family - Detached,2.5
1136.0,2,Community,219900.0,Single Family - Detached,2.0
1999.0,3,None,218650.0,Single Family - Detached,2.0
1956.0,3,Private,187500.0,Single Family - Detached,2.0
3229.0,5,None,400000.0,Single Family - Detached,3.0
1143.0,2,Community,152500.0,Apartment Style/Flat,2.0
2229.0,4,None,189000.0,Single Family - Detached,3.0
3930.0,7,None,300000.0,Single Family - Detached,3.5
1035.0,2,Community,125000.0,Apartment Style/Flat,2.0
1334.0,2,Community,145000.0,Single Family - Detached,2.0
1322.0,2,Community,115000.0,Single Family - Detached,2.0
2581.0,4,None,169900.0,Single Family - Detached,2.5
1465.0,2,Community,150250.0,Single Family - Detached,2.0
920.0,2,Community,98000.0,Townhouse,1.5
1253.0,2,Community,137600.0,Single Family - Detached,2.0
2018.0,4,Both Private & Community,256000.0,Single Family - Detached,2.5
1852.0,4,Private,174900.0,Single Family - Detached,2.0
2155.0,3,Private,340000.0,Single Family - Detached,2.0
1486.0,3,None,165000.0,Single Family - Detached,2.0
2203.0,4,Both Private & Community,208900.0,Single Family - Detached,2.0
2826.0,3,Private,600000.0,Single Family - Detached,2.5
1276.0,3,None,125000.0,Single Family - Detached,2.0
2346.0,4,Private,220000.0,Single Family - Detached,3.0
1756.0,3,None,295000.0,Single Family - Detached,2.0
2981.0,3,Both Private & Community,435000.0,Single Family - Detached,3.5
2610.0,2,Community,480000.0,Single Family - Detached,2.5
2281.0,2,Community,365000.0,Single Family - Detached,3.0
5335.0,6,Both Private & Community,1235000.0,Single Family - Detached,3.5
1525.0,3,Community,88000.0,Apartment Style/Flat,2.0
1812.0,3,None,240000.0,Single Family - Detached,2.0
1500.0,2,Community,138500.0,Single Family - Detached,2.0
1675.0,4,Private,157500.0,Single Family - Detached,2.0
1873.0,2,None,151000.0,Single Family - Detached,2.0
932.0,2,Community,86000.0,Apartment Style/Flat,2.0
3398.0,3,None,545000.0,Single Family - Detached,3.5
1096.0,3,None,119900.0,Single Family - Detached,2.0
2234.0,3,None,264500.0,Single Family - Detached,3.0
1425.0,3,Community,210000.0,Single Family - Detached,2.0
1546.0,3,None,149900.0,Single Family - Detached,2.0
3760.0,4,Private,769000.0,Single Family - Detached,4.5
1405.0,3,None,337000.0,Single Family - Detached,2.0
1208.0,2,Private,261000.0,Apartment Style/Flat,2.0
2894.0,4,Private,345000.0,Single Family - Detached,2.0
2277.0,3,None,311500.0,Single Family - Detached,3.0
2358.0,5,Private,195000.0,Single Family - Detached,2.5
1679.0,3,Community,244500.0,Single Family - Detached,2.0
1134.0,3,None,78500.0,Single Family - Detached,2.0
1799.0,3,Private,186000.0,Single Family - Detached,2.0
1217.0,3,Community,109900.0,Single Family - Detached,2.0
1684.0,3,Both Private & Community,155000.0,Single Family - Detached,2.0
1513.0,2,Community,182000.0,Single Family - Detached,2.0
2228.0,4,None,161500.0,Single Family - Detached,2.5
1058.0,2,Community,46000.0,Apartment Style/Flat,2.0
1449.0,4,None,151900.0,Single Family - Detached,2.0
1212.0,2,Community,91500.0,Gemini/Twin Home,2.0
1456.0,1,Community,162700.0,Loft Style,2.0
2162.0,3,None,228000.0,Single Family - Detached,2.0
2137.0,3,None,205000.0,Single Family - Detached,2.0
2188.0,3,None,265000.0,Single Family - Detached,2.5
3128.0,5,None,312000.0,Single Family - Detached,3.0
2500.0,4,None,305000.0,Single Family - Detached,2.0
2205.0,3,Community,267500.0,Single Family - Detached,2.5
1768.0,2,Community,315000.0,Single Family - Detached,2.0
1783.0,3,None,191000.0,Single Family - Detached,2.0
2940.0,4,Both Private & Community,340000.0,Single Family - Detached,3.0
961.0,2,Community,78000.0,Mfg/Mobile Housing,2.0
1459.0,2,None,184900.0,Single Family - Detached,2.0
1190.0,2,Community,155000.0,Patio Home,2.0
2542.0,4,Private,444000.0,Single Family - Detached,3.0
1521.0,3,None,210000.0,Single Family - Detached,2.0
1433.0,3,None,190000.0,Single Family - Detached,2.0
2511.0,4,None,250000.0,Single Family - Detached,2.5
1084.0,2,Community,160000.0,Single Family - Detached,1.0
1060.0,2,Community,114500.0,Townhouse,1.5
2003.0,3,Private,324500.0,Single Family - Detached,2.5
1748.0,3,Community,187500.0,Single Family - Detached,2.5
3949.0,4,None,397370.0,Single Family - Detached,3.5
1570.0,3,None,132500.0,Single Family - Detached,2.5
1625.0,3,None,135000.0,Single Family - Detached,2.0
1134.0,3,None,125000.0,Single Family - Detached,1.0
999.0,2,Community,165000.0,Apartment Style/Flat,2.0
2035.0,3,Private,331000.0,Single Family - Detached,2.0
4195.0,5,None,450000.0,Single Family - Detached,3.5
1437.0,3,None,181000.0,Single Family - Detached,2.0
1610.0,3,None,195000.0,Single Family - Detached,2.0
2551.0,3,Community,390000.0,Single Family - Detached,2.5
1112.0,3,None,72000.0,Single Family - Detached,2.0
1242.0,2,Private,145000.0,Single Family - Detached,2.0
2523.0,4,Private,399900.0,Single Family - Detached,2.0
1656.0,3,Community,198000.0,Single Family - Detached,2.5
1582.0,3,Private,305000.0,Single Family - Detached,2.0
3183.0,4,None,403710.0,Single Family - Detached,3.5
2164.0,3,None,250000.0,Single Family - Detached,2.0
2060.0,3,Community,285000.0,Single Family - Detached,3.0
1658.0,3,Private,199000.0,Single Family - Detached,3.0
1822.0,3,None,200000.0,Single Family - Detached,2.5
2409.0,3,None,252000.0,Single Family - Detached,2.5
2552.0,3,Private,382500.0,Single Family - Detached,2.0
1874.0,3,Private,125000.0,Single Family - Detached,2.5
2492.0,3,None,250255.0,Single Family - Detached,3.0
1988.0,2,Community,150000.0,Single Family - Detached,2.5
1605.0,4,Community,140000.0,Single Family - Detached,2.0
2348.0,4,None,149000.0,Single Family - Detached,3.0
1866.0,3,None,45000.0,Single Family - Detached,2.0
2908.0,4,Both Private & Community,397000.0,Single Family - Detached,2.5
1832.0,2,Both Private & Community,430000.0,Single Family - Detached,2.0
1805.0,3,Private,250000.0,Single Family - Detached,2.5
1830.0,3,None,322500.0,Single Family - Detached,2.0
1232.0,3,None,88000.0,Mfg/Mobile Housing,2.0
507.0,2,None,32000.0,Single Family - Detached,1.0
1604.0,3,Private,204900.0,Single Family - Detached,2.0
1540.0,3,None,19500.0,Single Family - Detached,2.0
2152.0,4,Community,257900.0,Single Family - Detached,2.0
3654.0,5,Both Private & Community,449000.0,Single Family - Detached,3.0
1690.0,4,Private,117000.0,Single Family - Detached,2.0
1210.0,2,Community,81000.0,Apartment Style/Flat,2.0
3419.0,4,Private,432000.0,Single Family - Detached,2.5
3391.0,5,Both Private & Community,417000.0,Single Family - Detached,3.5
1112.0,2,None,97000.0,Single Family - Detached,1.0
2879.0,4,None,310000.0,Single Family - Detached,2.0
1201.0,3,Community,169900.0,Single Family - Detached,2.0
1038.0,2,Community,128500.0,Apartment Style/Flat,2.0
1540.0,2,Community,205900.0,Single Family - Detached,2.0
1088.0,2,Community,59500.0,Townhouse,1.5
2410.0,4,Private,292000.0,Single Family - Detached,3.0
1391.0,2,Community,139000.0,Single Family - Detached,2.0
1153.0,2,Community,60000.0,Mfg/Mobile Housing,2.0
1307.0,3,None,147000.0,Single Family - Detached,2.0
1584.0,3,None,199000.0,Single Family - Detached,2.0
1757.0,4,None,200000.0,Single Family - Detached,2.0
2938.0,3,None,970000.0,Townhouse,3.0
1460.0,3,None,126500.0,Single Family - Detached,2.0
2071.0,4,None,164950.0,Single Family - Detached,3.0
1400.0,3,None,295000.0,Single Family - Detached,2.0
1053.0,2,Community,162000.0,Apartment Style/Flat,2.0
2111.0,2,Community,318000.0,Single Family - Detached,2.0
2379.0,3,Community,465000.0,Apartment Style/Flat,3.0
2600.0,3,Private,320000.0,Single Family - Detached,2.0
2788.0,4,Private,339000.0,Single Family - Detached,3.0
768.0,2,Community,70000.0,Townhouse,1.0
2454.0,3,None,315000.0,Single Family - Detached,3.0
2968.0,4,Community,384800.0,Single Family - Detached,3.0
888.0,2,Community,48000.0,Apartment Style/Flat,1.0
2150.0,3,None,190000.0,Single Family - Detached,2.0
1333.0,2,Community,75000.0,Apartment Style/Flat,2.0
863.0,2,Community,78000.0,Apartment Style/Flat,2.0
2338.0,3,None,365000.0,Single Family - Detached,2.0
1877.0,2,Community,255000.0,Single Family - Detached,2.0
